,co_ope,dt_base,vlr_base,dt_nasc,sexo,renda,renda_liq,dt_relac,co_cart,co_prof,cep
120,60,44613,650.45,31550.0,0,2138.13,1443.76,39152.0,0,315,19348
121,16,44857,7535.7,22950.0,0,4000.0,4000.0,40989.0,0,163,948
122,58,44613,4480.99,22950.0,0,4000.0,4000.0,40989.0,0,163,948
123,8,44857,2346.01,31466.0,0,0.0,0.0,40915.0,0,132,6700
124,8,44857,3223.44,31466.0,0,0.0,0.0,40915.0,0,132,6700
125,17,44853,953.28,33474.0,0,1796.98,1080.0,41006.0,0,108,22718
126,6,44857,1875.14,15729.0,0,0.0,0.0,43171.0,0,277,25864
127,58,44613,4065.79,28966.0,0,3000.0,2500.0,37184.0,0,63,3031
128,60,44613,4643.36,28966.0,0,3000.0,2500.0,37184.0,0,63,3031
129,17,44843,1489.51,23248.0,0,2927.51,1693.03,40077.0,0,199,1385
130,56,44613,600.91,31491.0,0,1350.0,1350.0,39964.0,0,61,7120
131,60,44613,4210.48,32944.0,0,1513.52,826.08,41484.0,0,129,23143
132,60,44613,2181.39,28356.0,0,0.0,0.0,43401.0,0,198,3064
133,3,44857,61035.4,28420.0,0,0.0,0.0,31117.0,0,72,5284
134,8,44857,1298.04,27419.0,0,0.0,0.0,42259.0,0,362,4026
135,20,44857,536.55,13375.0,0,635.92,635.92,35633.0,0,304,17851
136,16,44857,3057.99,19196.0,0,0.0,0.0,34056.0,0,277,11505
137,58,44699,18530.78,19196.0,0,0.0,0.0,34056.0,0,277,11505
138,6,44857,1740.24,32328.0,0,1320.0,1320.0,40965.0,0,181,24508
139,6,44857,2810.17,32328.0,0,1320.0,1320.0,40965.0,0,181,24508
140,20,44857,505.38,26836.0,0,0.0,0.0,39288.0,0,476,13817
141,58,44613,2426.5,32476.0,0,0.0,0.0,38973.0,0,132,13354
142,17,44843,752.7,27229.0,0,0.0,0.0,41241.0,0,219,3291
143,56,44613,607.62,27229.0,0,0.0,0.0,41241.0,0,219,3291
144,21,44857,1007.54,27229.0,0,0.0,0.0,41241.0,0,219,3291
145,56,44699,516.54,36156.0,0,0.0,0.0,43760.0,0,429,10742
146,56,44613,507.77,33276.0,0,2800.0,2800.0,40560.0,0,151,24676
147,60,44613,3444.3,19325.0,0,3960.38,2799.9,38777.0,0,278,4450
148,6,44857,1652.4,19325.0,0,3960.38,2799.9,38777.0,0,278,4450
149,58,44613,2244.97,19325.0,0,3960.38,2799.9,38777.0,0,278,4450
150,6,44857,13381.59,31402.0,0,1700.0,1700.0,40659.0,0,131,8413
151,58,44773,1186.99,34418.0,0,0.0,0.0,42786.0,0,429,10604
152,21,44857,6996.39,28544.0,0,0.0,0.0,37047.0,0,53,2985
153,21,44857,2359.87,28544.0,0,0.0,0.0,37047.0,0,53,2985
154,21,44857,586.97,28544.0,0,0.0,0.0,37047.0,0,53,2985
155,21,44857,650.2,28544.0,0,0.0,0.0,37047.0,0,53,2985
156,21,44857,386.36,28544.0,0,0.0,0.0,37047.0,0,53,2985
